country,gold,silver,bronze,total
United States,1195,969,845,3009
Soviet Union,473,376,355,1204
Germany,355,377,366,1098
Great Britain,312,339,337,988
France,287,308,356,951
Italy,271,244,274,789
People's Republic of China,285,231,197,713
Sweden,216,233,248,697
Japan,186,178,211,575
Norway,208,188,173,569
Australia,168,177,218,563
Canada,148,184,221,553
Russian Federation,194,169,188,551
Hungary,186,163,186,535
East Germany,192,165,162,519
Finland,151,152,186,489
Netherlands,151,156,172,479
Switzerland,123,134,132,389
Republic of Korea,129,121,116,366
Austria,96,128,137,361
Poland,82,98,149,329
Romania,90,97,122,309
West Germany,67,82,94,243
Cuba,84,69,82,235
Bulgaria,55,90,85,230
Denmark,51,86,84,221
Belgium,50,60,71,181
Spain,49,73,52,174
Czechoslovakia,51,58,62,171
Greece,44,59,54,157
Brazil,37,42,71,150
Ukraine,38,38,72,148
New Zealand,55,35,53,143
Unified Team,54,44,37,135
ROC,28,46,46,120
Kenya,35,42,36,113
Belarus,21,37,47,105
Türkiye,41,26,36,103
Czechia,29,33,39,101
South Africa,27,34,30,91
Jamaica,26,36,26,88
Yugoslavia,26,32,29,87
Kazakhstan,15,24,40,79
Argentina,21,26,30,77
Islamic Republic of Iran,24,23,29,76
Mexico,13,24,35,72
Ethiopia,23,12,23,58
Democratic People's Republic of Korea,16,17,24,57
Slovenia,12,17,23,52
Croatia,18,19,15,52
Azerbaijan,7,14,28,49
Estonia,14,11,19,44
Slovakia,14,18,10,42
Georgia,10,12,18,40
Ireland,11,11,16,38
Indonesia,8,14,15,37
Uzbekistan,11,6,20,37
Chinese Taipei,7,11,18,36
Egypt,8,10,18,36
India,10,9,16,35
Thailand,10,8,17,35
Colombia,5,13,16,34
Latvia,5,14,12,31
Mongolia,2,11,17,30
Portugal,5,9,14,28
Nigeria,3,11,13,27
Lithuania,6,7,13,26
Serbia,6,7,11,24
Morocco,7,5,12,24
Venezuela,3,7,9,19
Trinidad and Tobago,3,5,11,19
Armenia,2,8,8,18
Algeria,5,4,8,17
The Bahamas,8,2,6,16
Tunisia,5,3,7,15
Philippines,1,5,8,14
Malaysia,0,8,5,13
Chile,2,7,4,13
Israel,3,1,9,13
Dominican Republic,3,5,4,12
Australasia,3,4,5,12
Uganda,4,4,3,11
Liechtenstein,2,2,6,10
Mixed team,4,2,4,10
Pakistan,3,3,4,10
Puerto Rico,2,2,6,10
Uruguay,2,2,6,10
Serbia and Montenegro,2,4,3,9
"Hong Kong, China",2,3,4,9
Zimbabwe,3,4,1,8
Qatar,2,2,4,8
Luxembourg,3,4,0,7
Kyrgyzstan,0,3,4,7
Bohemia,0,1,5,6
Cameroon,3,1,2,6
Republic of Moldova,0,2,4,6
Singapore,1,2,2,5
Vietnam,1,3,1,5
Namibia,0,5,0,5
Ecuador,3,2,0,5
Independent Olympic Athletes,1,1,3,5
Ghana,0,1,4,5
Côte d'Ivoire,1,1,2,4
Lebanon,0,2,2,4
Costa Rica,1,1,2,4
Bahrain,2,2,0,4
Tajikistan,1,1,2,4
Peru,1,3,0,4
Syrian Arab Republic,1,1,2,4
Kingdom of Saudi Arabia,0,2,2,4
Iceland,0,2,2,4
Kosovo,3,0,0,3
Grenada,1,1,1,3
Fiji,2,0,1,3
San Marino,0,1,2,3
Panama,1,0,2,3
Kuwait,0,0,3,3
Jordan,1,1,1,3
Afghanistan,0,0,2,2
Bermuda,1,0,1,2
Botswana,0,1,1,2
Burundi,1,1,0,2
Suriname,1,0,1,2
Sri Lanka,0,2,0,2
Zambia,0,1,1,2
United Arab Republic,0,1,1,2
West Indies Federation,0,0,2,2
United Republic of Tanzania,0,2,0,2
United Arab Emirates,1,0,1,2
North Macedonia,0,1,1,2
Niger,0,1,1,2
Haiti,0,1,1,2
Mozambique,1,0,1,2
Barbados,0,0,1,1
Burkina Faso,0,0,1,1
Djibouti,0,0,1,1
Cyprus,0,1,0,1
Guatemala,0,1,0,1
Monaco,0,0,1,1
Montenegro,0,1,0,1
Mauritius,0,0,1,1
Iraq,0,0,1,1
Eritrea,0,0,1,1
Gabon,0,1,0,1
Guyana,0,0,1,1
Paraguay,0,1,0,1
Samoa,0,1,0,1
Senegal,0,1,0,1
Netherlands Antilles,0,1,0,1
Sudan,0,1,0,1
Turkmenistan,0,1,0,1
Tonga,0,1,0,1
Togo,0,0,1,1
United States Virgin Islands,0,1,0,1
