country,gold,silver,bronze,total
United States,1070,841,744,2655
Soviet Union,395,319,296,1010
Great Britain,291,323,313,927
Germany,237,264,290,791
France,231,257,285,773
People's Republic of China,263,199,174,636
Italy,222,193,214,629
Australia,162,170,209,541
Hungary,182,156,177,515
Sweden,146,177,181,504
Japan,169,150,180,499
Russian Federation,148,130,153,431
East Germany,153,129,127,409
Netherlands,98,106,125,329
Canada,70,111,144,325
Finland,104,86,120,310
Romania,90,97,121,308
Poland,75,91,140,306
Republic of Korea,96,91,100,287
Cuba,84,69,82,235
Bulgaria,54,88,82,224
Denmark,48,82,83,213
Switzerland,56,84,72,212
West Germany,56,67,81,204
Spain,48,72,49,169
Belgium,46,56,64,166
Norway,59,53,50,162
Brazil,37,42,71,150
Czechoslovakia,49,50,47,146
Ukraine,35,36,68,139
New Zealand,53,33,51,137
Greece,36,45,41,122
Kenya,35,42,36,113
Unified Team,45,38,29,112
Türkiye,41,26,36,103
Austria,22,37,43,102
South Africa,27,34,30,91
Jamaica,26,36,26,88
Belarus,13,30,42,85
Yugoslavia,26,29,28,83
Argentina,21,26,30,77
Islamic Republic of Iran,24,23,29,76
Mexico,13,24,35,72
ROC,20,28,23,71
Kazakhstan,14,21,36,71
Czechia,19,22,26,67
Ethiopia,23,12,23,58
Democratic People's Republic of Korea,16,16,23,55
Azerbaijan,7,14,28,49
Croatia,14,13,14,41
Georgia,10,12,18,40
Ireland,11,11,16,38
Indonesia,8,14,15,37
Uzbekistan,10,6,20,36
Egypt,8,10,18,36
Estonia,10,9,17,36
Chinese Taipei,7,11,18,36
India,10,9,16,35
Thailand,10,8,17,35
Colombia,5,13,16,34
Slovakia,10,14,8,32
Mongolia,2,11,17,30
Portugal,5,9,14,28
Slovenia,8,9,11,28
Nigeria,3,11,13,27
Lithuania,6,7,13,26
Serbia,6,7,11,24
Morocco,7,5,12,24
Latvia,4,11,6,21
Trinidad and Tobago,3,5,11,19
Venezuela,3,7,9,19
Armenia,2,8,8,18
Algeria,5,4,8,17
The Bahamas,8,2,6,16
Tunisia,5,3,7,15
Philippines,1,5,8,14
Chile,2,7,4,13
Israel,3,1,9,13
Malaysia,0,8,5,13
Australasia,3,4,5,12
Dominican Republic,3,5,4,12
Uganda,4,4,3,11
Puerto Rico,2,2,6,10
Uruguay,2,2,6,10
Pakistan,3,3,4,10
"Hong Kong, China",2,3,4,9
Serbia and Montenegro,2,4,3,9
Mixed team,3,2,4,9
Zimbabwe,3,4,1,8
Qatar,2,2,4,8
Kyrgyzstan,0,3,4,7
Republic of Moldova,0,2,4,6
Cameroon,3,1,2,6
Namibia,0,5,0,5
Luxembourg,3,2,0,5
Singapore,1,2,2,5
Vietnam,1,3,1,5
Independent Olympic Athletes,1,1,3,5
Ecuador,3,2,0,5
Ghana,0,1,4,5
Bahrain,2,2,0,4
Iceland,0,2,2,4
Lebanon,0,2,2,4
Costa Rica,1,1,2,4
Bohemia,0,1,3,4
Tajikistan,1,1,2,4
Peru,1,3,0,4
Syrian Arab Republic,1,1,2,4
Kingdom of Saudi Arabia,0,2,2,4
Côte d'Ivoire,1,1,2,4
Kosovo,3,0,0,3
Fiji,2,0,1,3
Grenada,1,1,1,3
San Marino,0,1,2,3
Panama,1,0,2,3
Kuwait,0,0,3,3
Jordan,1,1,1,3
Bermuda,1,0,1,2
Afghanistan,0,0,2,2
Botswana,0,1,1,2
Burundi,1,1,0,2
Suriname,1,0,1,2
Sri Lanka,0,2,0,2
Zambia,0,1,1,2
United Arab Republic,0,1,1,2
West Indies Federation,0,0,2,2
United Republic of Tanzania,0,2,0,2
United Arab Emirates,1,0,1,2
North Macedonia,0,1,1,2
Niger,0,1,1,2
Haiti,0,1,1,2
Mozambique,1,0,1,2
Barbados,0,0,1,1
Burkina Faso,0,0,1,1
Djibouti,0,0,1,1
Cyprus,0,1,0,1
Guatemala,0,1,0,1
Monaco,0,0,1,1
Montenegro,0,1,0,1
Mauritius,0,0,1,1
Iraq,0,0,1,1
Eritrea,0,0,1,1
Gabon,0,1,0,1
Guyana,0,0,1,1
Paraguay,0,1,0,1
Samoa,0,1,0,1
Senegal,0,1,0,1
Netherlands Antilles,0,1,0,1
Sudan,0,1,0,1
Turkmenistan,0,1,0,1
Tonga,0,1,0,1
Togo,0,0,1,1
United States Virgin Islands,0,1,0,1
