country,gold,silver,bronze,total
Norway,148,134,123,405
United States,113,122,95,330
Germany,112,104,70,286
Austria,71,88,91,250
Canada,77,72,76,225
Soviet Union,78,57,59,194
Sweden,65,51,60,176
Finland,45,65,65,175
Switzerland,63,47,58,168
Netherlands,53,49,45,147
Italy,42,43,56,141
France,41,42,55,138
Russian Federation,46,39,35,120
East Germany,39,36,35,110
Republic of Korea,33,30,16,79
People's Republic of China,22,32,23,77
Japan,17,28,31,76
ROC,8,18,23,49
West Germany,11,15,13,39
Czechia,10,11,13,34
Great Britain,12,5,17,34
Czechoslovakia,2,8,15,25
Slovenia,4,8,12,24
Unified Team,9,6,8,23
Poland,7,7,9,23
Belarus,8,7,5,20
Australia,6,7,6,19
Croatia,4,6,1,11
Latvia,1,3,6,10
Slovakia,4,4,2,10
Liechtenstein,2,2,6,10
Hungary,2,2,6,10
Ukraine,3,2,4,9
Kazakhstan,1,3,4,8
Belgium,2,2,4,8
Estonia,4,2,2,8
Bulgaria,1,2,3,6
New Zealand,2,2,2,6
Spain,1,1,3,5
Yugoslavia,0,3,1,4
Luxembourg,0,2,0,2
Democratic People's Republic of Korea,0,1,1,2
Denmark,0,1,0,1
Mixed team,1,0,0,1
Romania,0,0,1,1
Uzbekistan,1,0,0,1
