,edition,count
0,2020 Summer Olympics,49
1,2024 Paris Summer Olympics,45
2,2008 Summer Olympics,42
3,2016 Summer Olympics,41
4,2012 Summer Olympics,39
5,2004 Summer Olympics,39
6,2000 Summer Olympics,39
7,1992 Summer Olympics,36
8,1996 Summer Olympics,36
9,1988 Summer Olympics,34
10,1900 Summer Olympics,32
11,1984 Summer Olympics,30
12,1920 Summer Olympics,30
13,1936 Summer Olympics,30
14,1972 Summer Olympics,29
15,1924 Summer Olympics,27
16,1964 Summer Olympics,26
17,1976 Summer Olympics,26
18,1980 Summer Olympics,26
19,1908 Summer Olympics,26
20,1952 Summer Olympics,26
21,1948 Summer Olympics,25
22,1968 Summer Olympics,25
23,1928 Summer Olympics,23
24,1932 Summer Olympics,23
25,1960 Summer Olympics,22
26,1956 Summer Olympics,22
27,1912 Summer Olympics,21
28,1904 Summer Olympics,20
29,2006 Winter Olympics,15
30,2010 Winter Olympics,15
31,2014 Winter Olympics,15
32,2002 Winter Olympics,15
33,2018 Winter Olympics,15
34,2022 Winter Olympics,15
35,1998 Winter Olympics,14
36,1992 Winter Olympics,14
37,1988 Winter Olympics,13
38,1994 Winter Olympics,12
39,1964 Winter Olympics,11
40,1948 Winter Olympics,11
41,1984 Winter Olympics,10
42,1968 Winter Olympics,10
43,1976 Winter Olympics,10
44,1972 Winter Olympics,10
45,1980 Winter Olympics,10
46,1896 Summer Olympics,10
47,1924 Winter Olympics,10
48,1928 Winter Olympics,10
49,1936 Winter Olympics,10
50,1952 Winter Olympics,9
51,1932 Winter Olympics,9
52,1960 Winter Olympics,8
53,1956 Winter Olympics,8
54,1956 Equestrian Olympics,3
55,1906  Intercalated Games,2
